Genera	AM-F10-T2-RITA	DA-AD-1-RITA	DA-AD-2-RITA	DA-AD-3-RITA	DA-AD-4-RITA	ES-AD-1-RITA	ES-AD-2-RITA	ES-AD-3-RITA	ES-AD-4-RITA	FR-AD-1-RITA	FR-AD-2-RITA	FR-AD-3-RITA	FR-AD-4-RITA	FR-AD-5-RITA	FR-AD-6-RITA	FR-AD-7-RITA	FR-AD-8-RITA	IT-AD-1-RITA	IT-AD-2-RITA	IT-AD-3-RITA	IT-AD-4-RITA	IT-AD-5-RITA	IT-AD-6-RITA	JP-AD-1-RITA	JP-AD-2-RITA	JP-AD-3-RITA	JP-AD-4-RITA	JP-AD-5-RITA	JP-AD-6-RITA	JP-AD-7-RITA	JP-AD-8-RITA	JP-AD-9-RITA
Roseburia	0.00715439	0.009876658	0.003481373	0.003499472	0.018481465	0.001081724	0.0046457	0.003652625	0.010795657	0.011227521	0.005129652	0.011406122	0.012842907	0.00733945	0.014400216	0.029608919	0.012810262	0.009525285	0.003200443	0.011524192	0.004500458	0.004917519	0.00658422	0.003706696	0.005138567	0.007377152	0.007260129	0.007364214	0.004639227	0.009066037	0.004554923	0.023272145
Rothia	0	1.26E-05	1.34E-05	8.66E-06	2.21E-05	4.47E-06	0	4.22E-06	1.31E-05	1.60E-05	0.000132208	0	8.32E-06	0	7.60E-05	8.55E-06	0	3.44E-05	0	1.71E-05	0.00012834	4.23E-05	2.59E-05	0	7.48E-05	0.0018977	1.27E-05	0.000427275	2.53E-05	0	2.51E-05	1.23E-05
Saccharopolyspora	0	0	4.45E-06	8.66E-06	4.43E-06	0	4.38E-06	4.22E-06	1.31E-05	0	0	0	0	0	8.45E-06	1.71E-05	0	8.60E-06	8.65E-06	8.57E-06	0	2.54E-05	8.62E-06	1.28E-05	1.25E-05	2.51E-05	0	1.26E-05	0	0	0	0
Salmonella	2.30E-06	1.68E-05	0	1.30E-05	0	8.94E-06	1.31E-05	1.27E-05	1.31E-05	1.60E-05	8.81E-06	8.63E-06	2.50E-05	0	5.91E-05	0	8.88E-06	4.30E-05	0.000371943	7.71E-05	1.71E-05	5.92E-05	1.72E-05	0	4.99E-05	0.000276486	5.09E-05	3.77E-05	3.79E-05	0	3.76E-05	2.46E-05
Selenomonas	0.000114838	0.000429237	0.000333891	0.000554372	0.000451523	0.000125158	0.000398829	0.000890987	0.000269891	0.000271505	0.000308484	0.000198593	0.000382625	0.000431732	0.00043074	0.000410404	0.000364231	0.000912087	0.000337344	0.000145659	0.000479136	0.000575544	0.000456759	0.000141085	0.002020504	0.00184743	0.000152845	0.000754015	0.000202255	0.000160936	0.000326248	0.000431194
Serratia	2.30E-06	1.68E-05	8.90E-06	8.66E-06	8.85E-06	1.34E-05	1.75E-05	4.22E-06	2.18E-05	1.60E-05	0	0	0	1.54E-05	1.69E-05	8.55E-06	8.88E-06	8.60E-06	1.73E-05	5.14E-05	0	1.69E-05	8.62E-06	1.28E-05	3.74E-05	0.000113108	1.27E-05	1.26E-05	3.79E-05	0.00010729	3.76E-05	0
Shewanella	2.07E-05	0.000168328	4.45E-05	0.000121269	7.97E-05	6.70E-05	4.82E-05	8.02E-05	5.66E-05	6.39E-05	6.17E-05	6.04E-05	9.15E-05	3.85E-05	5.07E-05	5.13E-05	3.55E-05	4.30E-05	4.32E-05	3.43E-05	0.000119784	4.23E-05	4.31E-05	2.57E-05	0.00011225	7.54E-05	1.27E-05	1.26E-05	2.53E-05	4.02E-05	6.27E-05	0
Shuttleworthia	8.73E-05	8.84E-05	0.000111297	0.000164579	0.000163788	2.23E-05	7.01E-05	7.18E-05	0.000108827	7.99E-05	0.000105766	6.04E-05	0.000199631	0.000231285	0.000194255	0.000265052	0.000186557	6.02E-05	0.000138398	0.000197068	1.71E-05	0.000135422	0.000103417	0.000102608	9.98E-05	8.80E-05	8.92E-05	0.00016337	0.000101128	5.36E-05	0.00012548	0.000184797
Slackia	0.00025494	0.000408196	0.000739013	0.000749268	0.000296589	7.15E-05	0.000280495	0.000270252	0.000326482	0.001141917	0.000722734	0.00023313	0.000291128	0.000986817	0.000658778	0.000495905	0.000692927	0.000292556	0.000726587	0.000385568	0.000539028	0.001074914	0.000965226	0.000128259	0.000473945	0.000578107	0.000114634	0.000389574	0.000113769	6.71E-05	0.000200768	0.000110878
Sodalis	0	0	0	0	0	0	0	0	0	0	0	0	8.32E-06	0	8.45E-06	0	0	0	0	0	0	0	0	0	2.49E-05	5.03E-05	0	0	0	0	0	0
Sphingobacterium	1.61E-05	0.000126246	8.01E-05	0.000108276	6.64E-05	7.60E-05	0.00036815	0.000118235	0.000130593	3.19E-05	6.17E-05	0.000120882	0.000149723	6.94E-05	0.000152026	9.41E-05	6.22E-05	1.72E-05	5.19E-05	5.14E-05	0.000248124	8.46E-05	0.000129271	6.41E-05	8.73E-05	3.77E-05	1.27E-05	5.03E-05	0.000126409	0.000429162	0.000175672	6.16E-05
Sphingobium	0	4.21E-06	1.34E-05	4.33E-06	1.33E-05	0	8.77E-06	8.45E-06	1.74E-05	0	1.76E-05	0	2.50E-05	0	0	8.55E-06	8.88E-06	0	2.59E-05	8.57E-06	0	0	0	0	1.25E-05	0	0	0	0	9.39E-05	0	0
